fold,station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
3,WORMS,14,1.6512708017566078,1.8656865025428455,3.4807861257705555,-5.7547928777329584,1.5734231133139625,1.6124398624378955,2.709586124018658,3.1361600217535965
3,KAUB,15,1.1761832441697,1.813226455329586,3.287790178307095,-4.066799932322578,-0.9062986732532181,0.8670716762237589,1.9213850346985764,5.804627705333232
3,LOBITH,21,1.323889774268959,1.6389433337263826,2.6861352511661485,-2.5680290535068413,-0.7883006867964577,0.9953318353802842,2.6386742744665526,3.8563192770122896
3,BINGEN,14,1.3835426616045754,1.47540907551982,2.1768319401262497,-9.406318543042559,-1.3835426616045754,1.3928274437969037,1.972630557546909,2.6394705826150187
3,DUISBURG-RUHRORT,15,1.2249879070518943,1.4735732203088723,2.1714180356114605,-1.979079622027919,0.8888957920110159,1.180099920920071,2.3739812295167213,2.6430368984926247
3,WESEL,14,0.9917748809220492,1.3812028486486712,1.9077213091152039,-4.41903444328377,0.6520143332281317,0.84080650672405,2.0059120216822697,3.5157400063448847
3,KONSTANZ-RHEIN,15,1.1586276861500664,1.2589459349437893,1.5849448671114914,-6.132251902001712,1.1586276861500664,1.2349620705611528,1.83931847026131,1.887414193946654
3,REES,14,0.9194859261440718,1.0722068314905453,1.1496274894949947,-2.086671067685191,0.7225074436268761,0.8653385737305186,1.6882915523081639,2.031131023259249
3,MANNHEIM,14,0.6480427434367796,0.817485126037601,0.6682819312927125,-1.7288178861119108,0.4126958145553244,0.5255121161606553,1.2062395427067092,1.8943836864324055
3,RHEINWEILER,14,0.7098681808813622,0.7691705546035873,0.59162334206919,0.0,-0.6870378904590017,0.8031831815971913,1.0349486392375156,1.0581874124924866
4,Koblenz UP,14,15.799226764545068,19.61517624083067,384.7551389588481,-1.597905719854424,-12.129440044045412,12.220198854156074,30.855451790036753,31.43732060821837
4,MANNHEIM,15,12.148849941128987,12.613685707649099,159.10506713135115,-307.608966418569,12.148849941128987,13.392519478538219,15.456082089095508,16.149304333780293
4,SANKT GOAR,15,8.494048374824116,8.805284445999998,77.5330341749695,-110.8264915985137,-8.494048374824116,9.06468246525776,9.959751730755562,10.300088563351437
4,Koblenz OP,14,4.969064947426127,5.477705218061502,30.0052544559782,-15.660141284339172,-4.969064947426127,5.524630098400124,7.832667034592081,7.9490163749098315
4,MAINZ,15,4.333637106429319,4.512192661488992,20.359882614395115,-11.86790333774972,-4.333637106429319,4.6392023518986605,5.958919544386554,6.277953033734121
4,KOBLENZ,14,3.749077810668711,4.266083670852704,18.19946988671608,-2.4699378383233004,1.1900503950034431,3.715661289876728,6.062311894981895,6.826254588865311
4,MAXAU,15,3.6021658674943677,4.17077856236568,17.39539381628913,-4.466429621040579,-3.560728619966422,3.2755275627334868,6.048862789695955,7.072911130587045
4,Basel-Rheinhalle,42,3.496397624159721,3.9383104428098443,15.510289143945071,-0.41315789731517505,1.4077957994737744,3.4519489086121666,5.7361149081961,7.198105695337063
4,RHEINE UNTERSCHLEUSE,15,1.7684311180569448,2.4536016653809853,6.020161132360346,-36.626007077252154,0.785106375786493,1.0394330532496667,4.490185551188949,5.571683813296772
4,BREISACH,14,1.7184239808977213,2.4498583438077977,6.0018059047246854,-0.3367658605977708,-1.2134083500830875,1.212933238828441,3.0516024387130862,7.300721145438615
4,IFFEZHEIM,14,1.8710741828561075,2.249416228467392,5.059873368892467,-1.9871541575389262,-1.4712653799268804,2.2080120329204505,3.4700114205880936,3.5662403966477143
4,DUISBURG-RUHRORT,14,2.043178892350387,2.230932243844275,4.977058676624051,-6.562042640452046,2.043178892350387,2.126223751332546,2.983513480962961,3.0830222759434776
